scenario,policy,orders_delivered_avg,late_deliveries_avg,avg_completion_time_min_avg,avg_bike_downtime_min_avg,avg_soc_avg
low,baseline,18.75,1.75,84.625,23.083333333333332,0.4022491488044795
low,heuristic,15.75,0.75,74.25,73.83333333333334,0.6068470537094213
medium,baseline,46.75,7.25,72.5779986522911,73.25,0.33898239894359106
medium,heuristic,49.25,2.75,75.3765873015873,64.5,0.552261473559278
high,baseline,102.25,16.0,75.59507752761257,68.125,0.45276540699906653
high,heuristic,102.75,1.25,69.9709564860427,56.425,0.5929232087234018
