order_id,delivered,delivered_by,release_time,deadline,completion_time,is_late,x,y
0,1,10,35,51,41,0,3.1971339922894186,0.12505377611333468
1,1,21,114,141,119,0,3.682356070820062,3.3834974371145563
2,1,10,27,40,35,0,2.1096090984263522,0.14898609719035172
3,1,48,89,109,101,0,2.806225314693065,3.5800980646120175
4,1,48,111,122,121,0,2.2460452314192683,1.3909535411533136
5,1,29,19,34,29,0,3.4906969749411343,1.7012525825899594
6,1,47,45,97,49,0,0.5110513825992435,1.8996365031866869
7,1,17,58,86,65,0,1.3226043361100652,0.21725221461548594
8,1,16,80,106,84,0,0.39400099039229086,1.4658914070354645
9,1,28,5,34,11,0,2.88676072628381,3.5228591810746175
10,1,4,29,75,32,0,1.4469398180105357,0.3989598846181375
11,1,4,46,61,53,0,1.3898680155504606,3.178422221322001
12,1,30,119,140,130,0,1.0475351538574385,1.334889110245567
13,1,14,93,111,100,0,3.045655028334941,0.8556932409904849
14,1,34,81,106,85,0,1.897277208788239,4.9476167531829764
15,1,31,99,111,103,0,3.423071254949373,4.214259600949048
16,1,7,8,24,14,0,4.025229003856071,2.0058239351116445
17,1,30,113,158,117,0,1.063132720270703,2.4961562974613867
18,1,44,95,121,100,0,0.7143579522103133,0.6981515976275315
19,1,0,74,95,78,0,3.7350690582612893,2.1421691364728983
20,1,14,63,79,67,0,4.986628889945805,0.6916587244542793
21,1,37,20,48,32,0,4.3055145483333295,0.7642065967413053
22,1,37,76,121,81,0,2.982045153659869,1.9238365583725003
23,1,19,120,131,139,1,1.2570705999090659,2.7661294810764376
24,1,3,34,56,40,0,3.408551845132874,2.684851652043976
25,1,18,58,74,62,0,0.5577608679793822,2.173826253345525
26,1,45,64,108,69,0,4.859440494350571,3.809810995260323
27,1,20,25,38,32,0,4.208346740862336,2.538314409888171
28,1,28,67,117,76,0,2.6968951505981287,3.8931323931527912
29,1,3,118,152,121,0,1.6207802850233655,0.09738371192916151
30,1,3,112,135,118,0,1.5375706270133072,0.28962583247093776
31,1,47,8,58,17,0,0.4282672603393939,2.4299523165830688
32,1,10,60,99,64,0,3.8291721465349386,0.641957322498814
33,1,19,54,105,59,0,1.3252831447002955,4.362165205426287
34,1,22,91,107,100,0,3.7763259831790275,3.4493381604981073
